lsmaccx,lsmaccy,lsmaccz,lsmangx,lsmangy,lsmangz,a0,a1,a2,f1,f2,timestamp
0,0,0,0,0,0,20581,33144,41930,0,0,2485
0,0,0,0,0,0,20661,36424,43626,0,0,2490
0,0,0,0,0,0,20901,33208,41930,1,1,2495
0,0,0,0,0,0,20565,32984,41834,0,0,2500
0,0,0,0,0,0,20581,33208,41738,0,0,2505
0,0,0,0,0,0,20613,33240,42106,0,1,2510
0,0,0,0,0,0,20517,33224,41978,1,0,2515
0,0,0,0,0,0,20549,33240,41978,0,0,2520
0,0,0,0,0,0,20629,34072,42490,0,1,2525
0,0,0,0,0,0,20709,33320,42090,0,0,2530
0,0,0,0,0,0,20533,33080,41914,1,0,2535
0,0,0,0,0,0,20581,33864,41930,0,0,2540
0,0,0,0,0,0,16003,32455,42410,1,1,2553
0,0,0,0,0,0,24710,34120,42154,0,0,2555
0,0,0,0,0,0,21093,33496,41962,0,1,2560
0,0,0,0,0,0,20821,33352,42090,0,0,2565
0,0,0,0,0,0,20613,33064,41802,1,0,2570
0,0,0,0,0,0,20645,33544,41290,0,0,2575
0,0,0,0,0,0,20485,33192,41930,0,1,2580
0,0,0,0,0,0,20597,33192,41978,0,0,2585
0,0,0,0,0,0,20533,33016,41578,1,0,2590
0,0,0,0,0,0,20549,33224,42042,0,1,2595
0,0,0,0,0,0,20613,33256,42090,0,0,2600
0,0,0,0,0,0,20485,33032,41818,1,0,2605
0,0,0,0,0,0,20597,34184,42618,0,1,2610
0,0,0,0,0,0,20693,33224,42122,0,0,2615
0,0,0,0,0,0,20565,33304,42026,0,0,2620
0,0,0,0,0,0,20501,32952,41690,1,0,2625
0,0,0,0,0,0,20565,33208,42170,0,1,2630
0,0,0,0,0,0,20581,33256,42106,0,0,2635
0,0,0,0,0,0,16003,32535,42458,1,1,2648
